mapName,dateTime,date,time,weekday,price,tradeCount,timeUnit
아쿠아로드:깊은 바다 협곡2,2025-12-25T22:00:00,2025-12-25,22:00,목,35000000.0,4.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-25T23:00:00,2025-12-25,23:00,목,22999999.0,7.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 00:00:00,2025-12-26,00:00,금,19000000.0,4.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 01:00:00,2025-12-26,01:00,금,10600244.0,5.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 02:00:00,2025-12-26,02:00,금,17666666.0,4.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 03:00:00,2025-12-26,03:00,금,123123.0,1.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 04:00:00,2025-12-26,04:00,금,20000617.0,2.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 05:00:00,2025-12-26,05:00,금,11111111.0,1.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 06:00:00,2025-12-26,06:00,금,51000000.0,3.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 07:00:00,2025-12-26,07:00,금,2370740.0,4.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 08:00:00,2025-12-26,08:00,금,43000000.0,1.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 09:00:00,2025-12-26,09:00,금,31666666.0,3.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 10:00:00,2025-12-26,10:00,금,37333333.0,5.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 11:00:00,2025-12-26,11:00,금,40500000.0,2.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 12:00:00,2025-12-26,12:00,금,0.0,0.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 13:00:00,2025-12-26,13:00,금,0.0,0.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 14:00:00,2025-12-26,14:00,금,11111.0,1.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 15:00:00,2025-12-26,15:00,금,1040740.0,3.0,HOURLY
아쿠아로드:깊은 바다 협곡2,2025-12-26 16:00:00,2025-12-26,16:00,금,1111.0,1.0,HOURLY
