mapName,keyword,date,weekday,hour,time,dateTime,price,tradeCount,timeUnit
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,18,18:00,2025-12-25 18:00:00,7909090.0,36,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,19,19:00,2025-12-25 19:00:00,7392360.0,19,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,20,20:00,2025-12-25 20:00:00,6921052.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,21,21:00,2025-12-25 21:00:00,7252381.0,24,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,22,22:00,2025-12-25 22:00:00,7962500.0,17,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,23,23:00,2025-12-25 23:00:00,7388888.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,0,00:00,2025-12-26 00:00:00,5117809.0,35,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,1,01:00,2025-12-26 01:00:00,1524999.0,37,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,2,02:00,2025-12-26 02:00:00,1505005.0,24,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,3,03:00,2025-12-26 03:00:00,878571.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,4,04:00,2025-12-26 04:00:00,515384.0,14,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,5,05:00,2025-12-26 05:00:00,1169247.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,6,06:00,2025-12-26 06:00:00,3666666.0,9,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,7,07:00,2025-12-26 07:00:00,3857142.0,8,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,8,08:00,2025-12-26 08:00:00,6310457.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,9,09:00,2025-12-26 09:00:00,11382352.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,10,10:00,2025-12-26 10:00:00,9824999.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,11,11:00,2025-12-26 11:00:00,15200000.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,12,12:00,2025-12-26 12:00:00,14351465.0,16,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,13,13:00,2025-12-26 13:00:00,14916666.0,21,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,14,14:00,2025-12-26 14:00:00,16050000.0,11,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,15,15:00,2025-12-26 15:00:00,14566666.0,17,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,16,16:00,2025-12-26 16:00:00,17573232.0,24,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,17,17:00,2025-12-26 17:00:00,17576923.0,16,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,18,18:00,2025-12-26 18:00:00,15115384.0,28,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,19,19:00,2025-12-26 19:00:00,13419354.0,33,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,20,20:00,2025-12-26 20:00:00,14159090.0,25,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,21,21:00,2025-12-26 21:00:00,13095833.0,29,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,22,22:00,2025-12-26 22:00:00,14052631.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-26,금,23,23:00,2025-12-26 23:00:00,12074999.0,24,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,0,00:00,2025-12-27 00:00:00,8469123.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,1,01:00,2025-12-27 01:00:00,11057539.0,31,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,2,02:00,2025-12-27 02:00:00,6233333.0,21,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,3,03:00,2025-12-27 03:00:00,7772727.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,4,04:00,2025-12-27 04:00:00,8284018.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,5,05:00,2025-12-27 05:00:00,11437499.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,6,06:00,2025-12-27 06:00:00,12384615.0,14,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,7,07:00,2025-12-27 07:00:00,13928571.0,14,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,8,08:00,2025-12-27 08:00:00,19399999.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,9,09:00,2025-12-27 09:00:00,14084991.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,10,10:00,2025-12-27 10:00:00,20999999.0,16,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-27,토,11,11:00,2025-12-27 11:00:00,21562500.0,19,HOURLY
